names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917201,AMPLICON,584,6186602,SAMN15058099,3316021,SRX8463665,114ldUM2017,2020-06-03T12:09:00Z,1355,8,
SRR11917202,AMPLICON,583,25965040,SAMN15057874,13816893,SRX8463664,212kiDX2017,2020-06-03T12:09:00Z,1117,6,
SRR11917203,AMPLICON,586,5550825,SAMN15058098,3107211,SRX8463663,50dpMB2017,2020-06-03T12:09:00Z,1355,7,
SRR11917204,AMPLICON,587,76976,SAMN15058097,127785,SRX8463662,309dxHH2017,2020-06-03T12:09:00Z,1355,6,
SRR11917205,AMPLICON,585,4351805,SAMN15058096,2496260,SRX8463661,699dkYG2017,2020-06-03T12:09:00Z,1355,5,
SRR11917206,AMPLICON,586,7047944,SAMN15058095,3745789,SRX8463660,594jyQY2017,2020-06-03T12:09:00Z,1355,4,
SRR11917207,AMPLICON,593,16949430,SAMN15058065,11793342,SRX8463659,871xuYK2017,2020-06-03T12:09:00Z,1331,5,
SRR11917208,AMPLICON,584,9055010,SAMN15058064,6504312,SRX8463658,431skEE2017,2020-06-03T12:09:00Z,1331,3,
SRR11917209,AMPLICON,590,16956508,SAMN15058063,12125563,SRX8463657,447nwSM2017,2020-06-03T12:09:00Z,1331,2,
SRR11917210,AMPLICON,586,27337759,SAMN15058062,18813025,SRX8463656,513mqDP2017,2020-06-03T12:09:00Z,1331,5,
SRR11917211,AMPLICON,587,6072539,SAMN15058061,3323780,SRX8463655,866onGW2017,2020-06-03T12:09:00Z,1331,8,
SRR11917212,AMPLICON,505,6070,SAMN15058060,86321,SRX8463654,633ezDM2017,2020-06-03T12:09:00Z,1331,7,
SRR11917213,AMPLICON,498,9076573,SAMN15058059,4848423,SRX8463653,541foHJ2017,2020-06-03T12:09:00Z,1331,4,
SRR11917214,AMPLICON,584,8762,SAMN15057870,87386,SRX8463652,502nhTI2017,2020-06-03T12:09:00Z,1117,2,
SRR11917215,AMPLICON,581,2227200,SAMN15058058,1308620,SRX8463651,71zpMY2017,2020-06-03T12:09:00Z,1331,1,
SRR11917216,AMPLICON,590,11506639,SAMN15058057,7942945,SRX8463650,462gbMO2017,2020-06-03T12:09:00Z,1330,9,
SRR11917217,AMPLICON,520,7133027,SAMN15058056,5075222,SRX8463649,24gsYJ2017,2020-06-03T12:09:00Z,1330,5,
SRR11917218,AMPLICON,592,8464146,SAMN15058055,6061202,SRX8463648,86yaRS2017,2020-06-03T12:09:00Z,1330,3,
SRR11917219,AMPLICON,591,7185043,SAMN15058054,5101575,SRX8463647,184riGS2017,2020-06-03T12:09:00Z,1330,2,
SRR11917220,AMPLICON,589,5182565,SAMN15058053,3817351,SRX8463646,367ktBM2017,2020-06-03T12:09:00Z,1330,6,
SRR11917221,AMPLICON,585,5799056,SAMN15058052,3241419,SRX8463645,30rdHT2017,2020-06-03T12:09:00Z,1330,8,
SRR11917222,AMPLICON,573,21225,SAMN15058051,92642,SRX8463644,260mrVU2017,2020-06-03T12:09:00Z,1330,7,
SRR11917223,AMPLICON,561,3468408,SAMN15058050,1977951,SRX8463643,393ksKC2017,2020-06-03T12:09:00Z,1330,4,
SRR11917224,AMPLICON,551,4129937,SAMN15058049,2366842,SRX8463642,296ipJR2017,2020-06-03T12:09:00Z,1330,1,
SRR11917225,AMPLICON,325,9108,SAMN15057869,87438,SRX8463641,172lbWZ2017,2020-06-03T12:09:00Z,1117,10,
SRR11917226,AMPLICON,509,10064018,SAMN15057851,5379757,SRX8463640,511ptHQ2017,2020-06-03T12:09:00Z,1105,4,
SRR11917227,AMPLICON,592,6161709,SAMN15058048,4494518,SRX8463639,883txWG2017,2020-06-03T12:09:00Z,1320,6,
SRR11917228,AMPLICON,594,9405461,SAMN15058047,6632782,SRX8463638,887ybOE2017,2020-06-03T12:09:00Z,1320,5,
SRR11917229,AMPLICON,594,8464187,SAMN15058046,6108187,SRX8463637,765xrXB2017,2020-06-03T12:09:00Z,1320,3,
